ID,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
17606,0.434,2010,0.0151,0.637,220733,0.843,0,0.0,5,0.0876,-5.4129999999999985,1,81,0.0432,109.012
17607,0.795,2010,0.185,0.6729999999999999,216773,0.8859999999999999,0,0.0,1,0.0826,-4.44,0,83,0.0431,97.012
17608,0.361,2010,0.00544,0.76,263773,0.595,1,0.0,1,0.241,-6.3660000000000005,1,76,0.0391,131.497
17609,0.504,2010,0.0275,0.684,195373,0.603,0,0.000311,11,0.191,-8.127,0,78,0.0989,81.0
17610,0.065,2010,0.512,0.523,217867,0.606,0,0.0,1,0.106,-4.754,0,77,0.0301,145.83700000000005
17611,0.635,2010,0.34700000000000003,0.68,229400,0.741,0,1.87e-06,2,0.117,-5.055,1,73,0.0357,127.024
17612,0.39,2010,0.0455,0.247,198213,0.438,1,0.0008710000000000001,5,0.111,-8.479,1,76,0.0358,185.716
17613,0.6409999999999999,2010,0.241,0.7490000000000001,263373,0.925,1,0.0,10,0.52,-5.034,1,82,0.227,86.98899999999998
17614,0.7140000000000001,2010,0.0991,0.755,199693,0.8370000000000001,0,0.0,2,0.289,-2.718,0,80,0.142,120.028
17615,0.5760000000000001,2010,0.0161,0.542,292093,0.914,1,0.0,0,0.7440000000000001,-4.747,0,78,0.113,153.993
17616,0.227,2010,0.146,0.706,223253,0.5579999999999999,0,0.0,2,0.118,-7.237,0,75,0.0593,110.443
17617,0.55,2010,0.0135,0.794,195873,0.7659999999999999,1,0.0,9,0.0785,-3.894,0,73,0.0377,127.007
17618,0.609,2010,0.4320000000000001,0.715,203173,0.584,0,1.41e-06,8,0.095,-8.231,1,72,0.0296,90.99
17619,0.818,2010,0.0033200000000000005,0.754,203867,0.804,0,0.0,4,0.0329,-3.177,1,72,0.0853,119.968
17620,0.74,2010,0.000346,0.482,212293,0.833,0,0.0,5,0.365,-5.6110000000000015,1,71,0.0449,148.039
17621,0.329,2010,0.0205,0.845,242013,0.601,1,0.0,1,0.385,-5.283,1,72,0.161,74.008
17622,0.221,2010,0.0796,0.531,299613,0.8029999999999999,1,1.7100000000000002e-05,1,0.17600000000000002,-3.284,1,75,0.0717,142.113
17623,0.414,2010,0.28,0.321,214333,0.64,0,0.0,2,0.718,-10.023,1,78,0.0324,146.172
17624,0.377,2010,0.11,0.66,180480,0.867,1,0.0,6,0.0368,-4.285,0,75,0.116,93.033
17625,0.625,2010,0.0048,0.7,202960,0.7090000000000001,1,0.0,7,0.0289,-5.006,1,77,0.0839,122.019
17626,0.6679999999999999,2010,0.529,0.855,248133,0.954,1,0.0,0,0.205,-1.19,0,79,0.264,114.635
17627,0.654,2010,0.0338,0.6629999999999999,220800,0.861,0,0.0,7,0.08199999999999999,-3.398,0,78,0.109,119.963
17628,0.481,2010,0.332,0.62,230120,0.8320000000000001,0,0.0,10,0.104,-4.848,1,73,0.036000000000000004,144.92600000000004
17629,0.535,2010,0.0401,0.728,214240,0.8590000000000001,0,0.0,5,0.111,-5.237,0,78,0.13699999999999998,65.043
17630,0.623,2010,0.0504,0.698,300680,0.586,0,0.0,5,0.295,-5.066,1,69,0.0278,115.081
17631,0.7759999999999999,2010,0.000715,0.561,191707,0.741,0,1.4e-05,6,0.0822,-4.239,0,69,0.0419,139.001
17632,0.778,2010,0.00676,0.435,216893,0.8370000000000001,0,0.0,3,0.117,-8.126,1,69,0.449,124.913
17633,0.878,2010,0.0846,0.4,198773,0.915,0,0.0,0,0.0503,-4.89,1,75,0.28,88.917
17634,0.111,2010,0.219,0.374,547733,0.568,1,0.00219,1,0.513,-3.825,0,73,0.109,84.73299999999998
17635,0.35700000000000004,2010,0.181,0.664,211253,0.845,0,0.0,4,0.267,-6.115,0,69,0.0461,96.005
17636,0.126,2010,0.856,0.34700000000000003,102813,0.239,0,0.000177,6,0.168,-11.314,0,71,0.0297,113.361
17637,0.852,2010,0.0869,0.6759999999999999,200173,0.703,0,0.000687,8,0.0463,-5.815,0,74,0.0302,92.761
17638,0.711,2010,0.0444,0.615,221253,0.711,0,0.0,11,0.145,-5.5070000000000014,1,68,0.0779,144.036
17639,0.509,2010,0.84,0.5770000000000001,197373,0.397,0,0.0,0,0.0772,-5.98,1,74,0.028,89.044
17640,0.743,2010,0.386,0.688,268320,0.853,0,0.0,10,0.0862,-5.814,1,73,0.0493,103.993
17641,0.625,2010,0.179,0.768,213293,0.82,0,0.0,7,0.7040000000000001,-4.63,0,72,0.0475,129.969
17642,0.578,2010,1.51e-05,0.6890000000000001,233867,0.7390000000000001,0,0.509,2,0.064,-5.81,1,77,0.026,120.423
17643,0.362,2010,0.348,0.606,222773,0.4970000000000001,0,0.0,4,0.275,-6.6110000000000015,1,68,0.0277,130.739
17644,0.463,2010,0.0435,0.376,271947,0.841,1,0.0,3,0.578,-4.348,0,69,0.35600000000000004,76.05199999999998
17645,0.62,2010,0.0111,0.722,201160,0.758,0,0.0,11,0.308,-4.477,0,69,0.0471,128.047
17646,0.199,2010,0.455,0.667,273893,0.381,0,0.0,3,0.116,-7.494,1,68,0.0294,135.975
17647,0.949,2010,0.332,0.738,190213,0.804,0,0.0,11,0.279,-3.851,1,71,0.0621,174.94299999999996
17648,0.404,2010,0.0124,0.57,270627,0.58,1,0.0,1,0.0498,-5.5470000000000015,1,69,0.21,171.812
17649,0.957,2010,0.0489,0.7040000000000001,211453,0.83,0,0.0,11,0.111,-3.139,1,73,0.0297,127.103
17650,0.206,2010,0.0175,0.435,351947,0.76,1,0.0,8,0.158,-4.935,0,71,0.0721,80.082
17651,0.231,2010,0.0927,0.5870000000000001,277573,0.622,0,0.0006360000000000001,4,0.2,-5.535,1,69,0.0303,107.943
17652,0.481,2010,0.8340000000000001,0.461,205453,0.267,0,2.03e-05,0,0.107,-8.514,1,73,0.0278,87.91799999999998
17653,0.853,2010,0.063,0.687,192253,0.631,1,0.0,9,0.108,-5.612,1,69,0.129,186.071
17654,0.0963,2010,0.00244,0.628,378893,0.6920000000000001,1,0.0129,2,0.6679999999999999,-5.64,1,72,0.202,124.887
17655,0.103,2010,0.0421,0.531,237800,0.752,0,0.0,1,0.12,-6.1610000000000005,1,74,0.0305,89.917
17656,0.738,2010,0.129,0.69,222933,0.8340000000000001,1,0.0,0,0.136,-5.79,1,67,0.0566,127.43
