ID,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo
1606,0.377,1930,0.8109999999999999,726,0.521,285962,0.364,0,0.0097,0.14300000000000002,-10.494000000000002,0,89,0.0641,95.234
1607,0.168,1930,0.987,467,0.349,541600,0.326,0,0.8859999999999999,0.784,-15.347000000000001,1,81,0.0551,80.233
1608,0.0808,1930,0.991,467,0.26899999999999996,264560,0.00856,0,0.9129999999999999,0.132,-29.686,1,66,0.0367,70.131
1609,0.922,1930,0.858,1530,0.727,159840,0.287,0,2.6e-06,0.057,-9.227,1,57,0.327,170.17
1610,0.055,1930,0.993,467,0.294,210827,0.006840000000000001,0,0.9390000000000001,0.0616,-29.3,1,58,0.047,49.792
1611,0.955,1930,0.924,1320,0.664,192933,0.374,0,0.00132,0.0915,-14.835,0,54,0.0952,82.368
1612,0.414,1930,0.982,1082,0.46299999999999997,181800,0.244,0,2.58e-06,0.292,-7.7479999999999976,1,55,0.0311,93.868
1613,0.599,1930,0.309,726,0.758,275723,0.376,0,0.0202,0.0884,-14.475999999999999,0,47,0.0587,91.993
1614,0.603,1930,0.971,219,0.6990000000000001,124147,0.447,0,0.000236,0.19,-10.589,1,67,0.16,124.463
1615,0.5820000000000001,1930,0.98,681,0.659,151800,0.342,0,0.0211,0.159,-15.852,1,44,0.0965,109.822
1616,0.445,1930,0.9329999999999999,901,0.5770000000000001,197067,0.305,0,0.00331,0.193,-12.63,1,46,0.0529,111.861
1617,0.7659999999999999,1930,0.9520000000000001,1082,0.501,180960,0.3720000000000001,0,0.0008869999999999998,0.152,-7.565,1,44,0.0792,147.745
1618,0.196,1930,0.97,32,0.337,179240,0.0723,0,0.0009369999999999999,0.0866,-16.871,1,46,0.0561,173.895
1619,0.0697,1930,0.982,467,0.295,918440,0.0696,0,0.892,0.111,-23.701,1,47,0.0387,66.145
1620,0.8340000000000001,1930,0.943,1522,0.7290000000000001,178933,0.7120000000000001,0,0.0,0.14,-1.649,1,44,0.0769,103.235
1621,0.777,1930,0.879,1082,0.605,194173,0.40399999999999997,0,7.55e-05,0.114,-7.4179999999999975,1,42,0.0581,142.135
1622,0.0784,1930,0.982,467,0.34299999999999997,585733,0.15,0,0.907,0.165,-21.366999999999997,0,44,0.0371,98.927
1623,0.149,1930,0.9940000000000001,467,0.425,430880,0.297,0,0.9179999999999999,0.755,-12.883,1,43,0.0485,106.94200000000001
1624,0.696,1930,0.993,1358,0.703,179801,0.295,0,0.000426,0.391,-8.017000000000001,1,43,0.20800000000000002,106.125
1625,0.78,1930,0.935,148,0.53,166373,0.235,0,0.00126,0.10800000000000001,-15.829,1,41,0.0445,172.86
1626,0.961,1930,0.914,1536,0.6920000000000001,179773,0.402,0,0.0,0.066,-11.727,0,42,0.20199999999999999,88.699
1627,0.857,1930,0.9440000000000001,148,0.563,169960,0.528,0,0.0602,0.166,-12.567,1,39,0.0365,125.715
1628,0.9129999999999999,1930,0.985,148,0.708,164667,0.45299999999999996,0,0.00186,0.149,-9.267000000000001,1,40,0.0368,78.84
1629,0.0688,1930,0.981,467,0.43,636293,0.203,0,0.8859999999999999,0.74,-19.76,1,42,0.0427,123.48299999999999
1630,0.8,1930,0.99,148,0.591,171333,0.21899999999999997,0,0.0763,0.0953,-13.34,1,40,0.0637,90.699
1631,0.0734,1930,0.975,467,0.37,735200,0.18899999999999997,0,0.8420000000000001,0.6940000000000001,-22.01,0,42,0.0442,118.259
1632,0.0634,1930,0.9790000000000001,467,0.31,1803280,0.22,0,0.868,0.162,-16.664,1,41,0.0428,79.903
1633,0.0379,1930,0.982,467,0.295,791893,0.0713,0,0.8909999999999999,0.6990000000000001,-20.649,1,41,0.0472,75.303
1634,0.14400000000000002,1930,0.986,467,0.402,413253,0.255,0,0.858,0.0819,-18.192999999999998,1,36,0.0439,114.921
1635,0.498,1930,0.968,901,0.473,181240,0.201,0,0.0206,0.207,-10.122,1,36,0.0471,93.23899999999999
1636,0.126,1930,0.993,467,0.32899999999999996,492907,0.263,0,0.8809999999999999,0.115,-19.664,1,39,0.0421,82.62200000000001
1637,0.713,1930,0.982,899,0.575,193507,0.392,0,0.113,0.15,-10.655,1,34,0.0485,142.785
1638,0.0692,1930,0.958,467,0.342,618987,0.17600000000000002,0,0.861,0.0963,-18.769000000000002,1,39,0.0286,79.566
1639,0.349,1930,0.991,32,0.419,195067,0.0378,0,0.341,0.141,-22.449,1,36,0.0973,175.21599999999995
1640,0.929,1930,0.991,148,0.624,157067,0.433,0,0.0128,0.272,-8.684,0,37,0.29100000000000004,165.215
1641,0.244,1930,0.988,32,0.5820000000000001,203067,0.0317,0,0.000261,0.0595,-21.241999999999997,1,35,0.0462,81.22800000000002
1642,0.934,1930,0.772,138,0.4920000000000001,182107,0.461,0,0.42100000000000004,0.0572,-7.548999999999999,1,32,0.049,189.01
1643,0.562,1930,0.991,899,0.546,215360,0.226,0,0.5870000000000001,0.10800000000000001,-11.81,1,41,0.0431,95.896
1644,0.33799999999999997,1930,0.991,687,0.456,230933,0.135,0,0.00137,0.133,-18.486,1,35,0.0939,129.871
1645,0.28,1930,0.9940000000000001,687,0.452,191280,0.0652,0,1.61e-06,0.301,-17.386,0,34,0.0685,75.154
1646,0.0862,1930,0.9570000000000001,467,0.32299999999999995,410933,0.0429,0,0.772,0.11699999999999999,-24.761,1,36,0.0337,120.18799999999999
1647,0.052000000000000005,1930,0.985,467,0.266,387920,0.0966,0,0.919,0.0921,-22.489,1,37,0.0398,84.292
1648,0.0802,1930,0.99,467,0.335,184213,0.0573,0,0.925,0.0999,-24.872,0,37,0.0562,79.76
1649,0.9620000000000001,1930,0.937,1082,0.752,192267,0.45899999999999996,0,0.007809999999999998,0.32799999999999996,-6.093,1,34,0.0403,105.52600000000001
1650,0.36200000000000004,1930,0.9940000000000001,687,0.48700000000000004,219960,0.109,0,5.24e-05,0.139,-20.146,1,34,0.271,96.949
1651,0.75,1930,0.983,432,0.7,148219,0.593,0,8.3e-05,0.379,-5.8370000000000015,1,60,0.18100000000000002,107.391
1652,0.0364,1930,0.988,467,0.305,399827,0.0457,0,0.937,0.107,-23.484,1,37,0.0398,67.721
1653,0.0654,1930,0.991,467,0.212,233067,0.0768,0,0.8170000000000001,0.11,-24.628,1,37,0.0403,70.65899999999998
1654,0.674,1930,0.966,901,0.775,161240,0.179,0,1.83e-06,0.0385,-12.898,1,33,0.0584,107.406
1655,0.23600000000000002,1930,0.9940000000000001,687,0.525,215973,0.124,0,0.0153,0.275,-14.219000000000001,0,34,0.0407,97.109
1656,0.353,1930,0.988,467,0.34600000000000003,362293,0.3,0,0.85,0.44799999999999995,-15.914000000000001,1,35,0.0379,76.991
1657,0.815,1930,0.821,901,0.594,272693,0.387,0,0.00041799999999999997,0.0463,-10.195,1,33,0.0592,164.18200000000004
1658,0.102,1930,0.9840000000000001,467,0.375,162840,0.0325,0,0.74,0.171,-28.284000000000002,1,36,0.0439,99.413
1659,0.29600000000000004,1930,0.9940000000000001,687,0.401,188387,0.0511,0,0.0,0.141,-17.925,1,34,0.0676,74.348
1660,0.9359999999999999,1930,0.99,687,0.742,184587,0.433,0,0.899,0.18600000000000005,-16.203,0,32,0.0821,118.506
1661,0.488,1930,0.9940000000000001,687,0.807,158160,0.316,0,0.255,0.38,-13.850999999999999,1,32,0.408,116.15899999999999
1662,0.7509999999999999,1930,0.993,687,0.6659999999999999,162640,0.349,0,0.713,0.11900000000000001,-13.388,0,32,0.0504,117.84700000000001
